股票代码,行业名称,细分行业名称,概念板块,风格板块,指数板块,特殊板块,板块总数,市场位置摘要
sz300902,专用机械,其他专用设备,一带一路、低空经济、储能、军民融合、国防军工、数据要素、新能源车、无人机、智能机器、海峡西岸、物联网、特高压、飞行汽车,微小盘股、连续亏损,,专精特新、中证2000、国证2000、融资融券,19,行业位置：专用机械/其他专用设备；相关概念：一带一路、低空经济、储能、军民融合、国防军工；风格标签：微小盘股、连续亏损；交易属性：专精特新、中证2000、国证2000、融资融券。
sz300928,汽车配件,汽车电子电气系统,MiniLED、OLED概念、低空经济、华为汽车、卫星导航、固态电池、新能源车、无人驾驶、智能交通、汽车电子、车联网、锂电池、飞行汽车,微盘股、破发行价、连续亏损、高融资盘,,中证2000、融资融券,19,行业位置：汽车配件/汽车电子电气系统；相关概念：MiniLED、OLED概念、低空经济、华为汽车、卫星导航；风格标签：微盘股、破发行价、连续亏损、高融资盘；交易属性：中证2000、融资融券。
sz300980,塑料,其他塑料制品,一带一路、人形机器、小米概念、折叠屏、新材料、新能源车、智能机器、智能穿戴、有机硅、消费电子、苹果概念、锂电池,基金增仓、基金独门、拟减持、股东减持,,专精特新、中证2000、融资融券,19,行业位置：塑料/其他塑料制品；相关概念：一带一路、人形机器、小米概念、折叠屏、新材料；风格标签：基金增仓、基金独门、拟减持、股东减持；交易属性：专精特新、中证2000、融资融券。
sz300990,专用机械,制冷空调设备,储能、光刻机、冷链物流、换电概念、数据中心、新能源车、氢能源、液冷服务、芯片、高端装备,送转潜力,创业300、创业小盘、创质量,专精特新、中证2000、国证2000、深港通SZ、融资融券,19,行业位置：专用机械/制冷空调设备；相关概念：储能、光刻机、冷链物流、换电概念、数据中心；风格标签：送转潜力；指数归属：创业300、创业小盘、创质量；交易属性：专精特新、中证2000、国证2000、深港通SZ。
sz301058,建筑工程,工程咨询服务,一带一路、中俄贸易、乡村振兴、体育概念、冷链物流、工业母机、智能机器、粮食概念、高端装备,中字头、商誉减值、私募新进、股权激励,中证央企、创业小盘,中证2000、国证2000、深港通SZ、融资融券,19,行业位置：建筑工程/工程咨询服务；相关概念：一带一路、中俄贸易、乡村振兴、体育概念、冷链物流；风格标签：中字头、商誉减值、私募新进、股权激励；指数归属：中证央企、创业小盘；交易属性：中证2000、国证2000、深港通SZ、融资融券。
sz301070,机械基件,其他通用设备,AI医疗、DeepSeek、东数西算、人工智能、储能、光伏、华为算力、无人驾驶、智慧政务、绿色电力、锂电池,专项贷款、券商重仓、历史新高、百元股、近期新高、连续亏损,,中证2000、融资融券,19,行业位置：机械基件/其他通用设备；相关概念：AI医疗、DeepSeek、东数西算、人工智能、储能；风格标签：专项贷款、券商重仓、历史新高、百元股；交易属性：中证2000、融资融券。
sz301121,电气设备,锂电池,AI眼镜、储能、充电桩、固态电池、小米概念、新型烟草、新能源车、无线耳机、智能穿戴、消费电子、钠电池、锂电池、阿里概念,微小盘股、破发行价、高市盈率,,专精特新、中证2000、融资融券,19,行业位置：电气设备/锂电池；相关概念：AI眼镜、储能、充电桩、固态电池、小米概念；风格标签：微小盘股、破发行价、高市盈率；交易属性：专精特新、中证2000、融资融券。
sz301131,塑料,改性塑料,PEEK材料、POE胶膜、充电桩、光伏、华为汽车、小米概念、新材料、新能源车、无人机、智能机器、碳纤维、绿色电力、钙钛矿、降解塑料,养老金、微盘股、社保新进,,专精特新、融资融券,19,行业位置：塑料/改性塑料；相关概念：PEEK材料、POE胶膜、充电桩、光伏、华为汽车；风格标签：养老金、微盘股、社保新进；交易属性：专精特新、融资融券。
sz301208,软件服务,行业应用软件,AI智能体、DeepSeek、东数西算、互联金融、人工智能、信创、信息安全、华为鸿蒙、商业航天、数字货币、数据中心、数据要素、腾讯概念、跨境支付、阿里概念,,金融科技,中证2000、深港通SZ、融资融券,19,行业位置：软件服务/行业应用软件；相关概念：AI智能体、DeepSeek、东数西算、互联金融、人工智能；指数归属：金融科技；交易属性：中证2000、深港通SZ、融资融券。
sz301215,汽车服务,汽车综合服务,人工智能、低空经济、充电桩、小米汽车、无人驾驶、智能交通、氢能源、虚拟现实、车联网、飞行汽车,QFII新进、中字头、发可转债,中证央企、创业小盘,中证1000、国证2000、深港通SZ、融资融券,19,行业位置：汽车服务/汽车综合服务；相关概念：人工智能、低空经济、充电桩、小米汽车、无人驾驶；风格标签：QFII新进、中字头、发可转债；指数归属：中证央企、创业小盘；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz301219,小金属,钴,一带一路、固态电池、新材料、电池回收、钴金属、锂电池、镍金属,承诺不减、绩优股、高分红股,创业200、创业300、能源金属,专精特新、中证1000、国证2000、深港通SZ、深证成指、融资融券,19,行业位置：小金属/钴；相关概念：一带一路、固态电池、新材料、电池回收、钴金属；风格标签：承诺不减、绩优股、高分红股；指数归属：创业200、创业300、能源金属；交易属性：专精特新、中证1000、国证2000、深港通SZ。
sz301285,元器件,消费电子组件,3D打印、光伏、小米概念、新能源车、智能穿戴、消费电子、芯片,券商重仓、历史新高、百元股、近期强势、近期新高、连续亏损、高市净率,创业小盘,中证2000、国证2000、深港通SZ、融资融券,19,行业位置：元器件/消费电子组件；相关概念：3D打印、光伏、小米概念、新能源车、智能穿戴；风格标签：券商重仓、历史新高、百元股、近期强势；指数归属：创业小盘；交易属性：中证2000、国证2000、深港通SZ、融资融券。
sz301326,元器件,消费电子组件,3D打印、固态电池、新材料、无人机、消费电子、液冷服务、芯片、苹果概念、锂电池,保险重仓、养老金、基金独门、百元股、连续亏损,创质量,中证2000、国证2000、深港通SZ、融资融券,19,行业位置：元器件/消费电子组件；相关概念：3D打印、固态电池、新材料、无人机、消费电子；风格标签：保险重仓、养老金、基金独门、百元股；指数归属：创质量；交易属性：中证2000、国证2000、深港通SZ、融资融券。
sz301327,电气设备,锂电池,BC电池、BIPV概念、储能、固态电池、新能源车、智能机器、智能电网、网红经济、钠电池、锂电池,微利股、海外业务、破发行价,创业200、创业300,中证1000、国证2000、深港通SZ、融资融券,19,行业位置：电气设备/锂电池；相关概念：BC电池、BIPV概念、储能、固态电池、新能源车；风格标签：微利股、海外业务、破发行价；指数归属：创业200、创业300；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz301328,元器件,其他电子,人形机器、低空经济、储能、光伏、数据中心、新能源车、无人驾驶、智能机器、毫米雷达、汽车电子、铜缆连接,户数减少、近期强势、近期新高,创业小盘,中证2000、国证2000、深港通SZ、融资融券,19,行业位置：元器件/其他电子；相关概念：人形机器、低空经济、储能、光伏、数据中心；风格标签：户数减少、近期强势、近期新高；指数归属：创业小盘；交易属性：中证2000、国证2000、深港通SZ、融资融券。
sz301360,专用机械,其他专用设备,AI眼镜、东数西算、人工智能、固态电池、智能穿戴、机器视觉、消费电子、混合现实、腾讯概念、芯片、苹果概念、钙钛矿、锂电池,保险新进、券商重仓、基金减仓,,专精特新、中证2000、融资融券,19,行业位置：专用机械/其他专用设备；相关概念：AI眼镜、东数西算、人工智能、固态电池、智能穿戴；风格标签：保险新进、券商重仓、基金减仓；交易属性：专精特新、中证2000、融资融券。
sz301363,医疗保健,医疗设备,CXO概念、PEEK材料、人脑工程、减肥药、智能机器、消费电子,密集调研、海外业务、股东减持、近期强势,创业200、创业300、创业创新、创医药、创质量,中证1000、国证2000、深港通SZ、融资融券,19,行业位置：医疗保健/医疗设备；相关概念：CXO概念、PEEK材料、人脑工程、减肥药、智能机器；风格标签：密集调研、海外业务、股东减持、近期强势；指数归属：创业200、创业300、创业创新、创医药；交易属性：中证1000、国证2000、深港通SZ、融资融券。
sz301421,元器件,光学元件,3D打印、AI眼镜、PCB概念、光刻机、基因概念、无人机、无人驾驶、智能机器、机器视觉、消费电子、芯片,活跃股、百元股,创业小盘,专精特新、中证2000、国证2000、深港通SZ、融资融券,19,行业位置：元器件/光学元件；相关概念：3D打印、AI眼镜、PCB概念、光刻机、基因概念；风格标签：活跃股、百元股；指数归属：创业小盘；交易属性：专精特新、中证2000、国证2000、深港通SZ。
sz301498,饲料,宠物食品,宠物经济、数字孪生,QFII新进、回购计划、拟增持、私募重仓、股东减持,中盘成长、中证800、创业300、创业板指、国证成长、民企100、深证300、深证成长,中证500、深港通SZ、深证成指、融资融券,19,行业位置：饲料/宠物食品；相关概念：宠物经济、数字孪生；风格标签：QFII新进、回购计划、拟增持、私募重仓；指数归属：中盘成长、中证800、创业300、创业板指；交易属性：中证500、深港通SZ、深证成指、融资融券。
sz301563,元器件,其他电子,AI智能体、DeepSeek、MCU芯片、PCB概念、人工智能、商业航天、存储芯片、智能机器、次新股、汽车电子、物联网、芯片,基金增仓、活跃股、百元股,深次新股,专精特新、深港通SZ、融资融券,19,行业位置：元器件/其他电子；相关概念：AI智能体、DeepSeek、MCU芯片、PCB概念、人工智能；风格标签：基金增仓、活跃股、百元股；指数归属：深次新股；交易属性：专精特新、深港通SZ、融资融券。
bj920491,元器件,被动元件,人形机器、低空经济、新能源车、无人机、无人驾驶、智能家居、智能机器、汽车电子、消费电子、液冷服务、物联网、芯片、飞行汽车,,北证50、北证专精,专精特新、中证2000、融资融券,18,行业位置：元器件/被动元件；相关概念：人形机器、低空经济、新能源车、无人机、无人驾驶；指数归属：北证50、北证专精；交易属性：专精特新、中证2000、融资融券。
bj920799,软件服务,行业应用软件,ChatGPT、互联金融、人工智能、信创、华为算力、华为鸿蒙、国产软件、数字货币、汽车电子、百度概念、虚拟现实、跨境支付、量子科技,高市净率,北证50、金融科技,国证2000、融资融券,18,行业位置：软件服务/行业应用软件；相关概念：ChatGPT、互联金融、人工智能、信创、华为算力；风格标签：高市净率；指数归属：北证50、金融科技；交易属性：国证2000、融资融券。
sh600032,新型电力,光伏发电,储能、光伏、氢能源、绿色电力、风电,商誉减值、微利股、户数增加、昨日振荡、社保新进、高应收款,上证380、中证800、国证成长、小盘成长,中证500、沪港通SH、融资融券,18,行业位置：新型电力/光伏发电；相关概念：储能、光伏、氢能源、绿色电力、风电；风格标签：商誉减值、微利股、户数增加、昨日振荡；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：中证500、沪港通SH、融资融券。
sh600295,特种钢,冶钢辅料,光伏、创投概念、含B股,私募新进、自由现金、行业龙头、高分红股、高股息股,上证380、上证红利、中证800、中证红利、国证价值、小盘价值、资源优势,中证500、沪港通SH、融资融券,18,行业位置：特种钢/冶钢辅料；相关概念：光伏、创投概念、含B股；风格标签：私募新进、自由现金、行业龙头、高分红股；指数归属：上证380、上证红利、中证800、中证红利；交易属性：中证500、沪港通SH、融资融券。
sh600329,中成药,中药,养老概念、基因概念、智能医疗,绩优股、高分红股、高股息股,上证380、上证治理、中证800、国信价值、国证价值、国证成长、小盘价值、小盘成长,中证500、沪港通SH、融资融券、转融券,18,行业位置：中成药/中药；相关概念：养老概念、基因概念、智能医疗；风格标签：绩优股、高分红股、高股息股；指数归属：上证380、上证治理、中证800、国信价值；交易属性：中证500、沪港通SH、融资融券、转融券。
sh600428,水运,航运,DeepSeek、一带一路、粤港澳、航运概念,专项贷款、中字头、低市盈率、券商重仓、整体上市、自由现金、高分红股,上证380、中证央企、腾讯济安,中证1000、国证2000、沪港通SH、融资融券,18,行业位置：水运/航运；相关概念：DeepSeek、一带一路、粤港澳、航运概念；风格标签：专项贷款、中字头、低市盈率、券商重仓；指数归属：上证380、中证央企、腾讯济安；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600435,专用机械,地面兵装,军工信息、军民融合、卫星导航、国防军工、无人机、高端装备,商誉减值、社保新进、证金汇金,上证380、上证治理、中证800、中证央企、新兴成指,中证500、沪港通SH、融资融券、转融券,18,行业位置：专用机械/地面兵装；相关概念：军工信息、军民融合、卫星导航、国防军工、无人机；风格标签：商誉减值、社保新进、证金汇金；指数归属：上证380、上证治理、中证800、中证央企；交易属性：中证500、沪港通SH、融资融券、转融券。
sh600517,多元金融,信托,储能、智能电网、物联网、特高压、碳中和、节能环保、钒电池,参股金融、商誉减值、股权转让,上证380、中证800、中证央企、腾讯济安,中证500、沪港通SH、融资融券、转融券,18,行业位置：多元金融/信托；相关概念：储能、智能电网、物联网、特高压、碳中和；风格标签：参股金融、商誉减值、股权转让；指数归属：上证380、中证800、中证央企、腾讯济安；交易属性：中证500、沪港通SH、融资融券、转融券。
sh600521,化学制药,化学制剂,仿制药、免疫治疗、创新药、合成生物,MSCI中盘、参股新股,上证380、中证800、创新100、国证成长、小盘成长、民企100,中证500、中证A500、含可转债、沪港通SH、融资融券、转融券,18,行业位置：化学制药/化学制剂；相关概念：仿制药、免疫治疗、创新药、合成生物；风格标签：MSCI中盘、参股新股；指数归属：上证380、中证800、创新100、国证成长；交易属性：中证500、中证A500、含可转债、沪港通SH。
sh600546,煤炭开采,动力煤,HJT电池、临界发电、光伏、航运概念,MSCI中盘、高分红股,上证380、上证红利、中证800、中证红利、国证价值、小盘价值、投资时钟、资源优势,中证500、沪港通SH、融资融券、转融券,18,行业位置：煤炭开采/动力煤；相关概念：HJT电池、临界发电、光伏、航运概念；风格标签：MSCI中盘、高分红股；指数归属：上证380、上证红利、中证800、中证红利；交易属性：中证500、沪港通SH、融资融券、转融券。
sh600575,火力发电,火力发电,DeepSeek、临界发电、光热发电、天然气、智能机器、虚拟电厂,QFII新进、定增股、整体上市、股权集中、重组预案、高股息股,上证580,中证1000、国证2000、沪港通SH、融资融券、转融券,18,行业位置：火力发电/火力发电；相关概念：DeepSeek、临界发电、光热发电、天然气、智能机器；风格标签：QFII新进、定增股、整体上市、股权集中；指数归属：上证580；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600587,医疗保健,医疗设备,DeepSeek、人工智能、人形机器、人脑工程、光刻机、医废处理、合成生物、外骨骼、智能医疗、智能机器、民营医院,专项贷款,上证580,中证1000、国证2000、沪港通SH、融资融券、转融券,18,行业位置：医疗保健/医疗设备；相关概念：DeepSeek、人工智能、人形机器、人脑工程、光刻机；风格标签：专项贷款；指数归属：上证580；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600596,化工原料,有机硅,乡村振兴、人形机器、光伏、新材料、有机硅、液冷服务、磷概念、草甘膦、虫害防治、锂电池、黄金概念,,上证580、国证农业,中证1000、国证2000、沪港通SH、融资融券、转融券,18,行业位置：化工原料/有机硅；相关概念：乡村振兴、人形机器、光伏、新材料、有机硅；指数归属：上证580、国证农业；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600598,种植业,粮食种植,乡村振兴、人造肉、化肥概念、区块链、土地流转、粮食概念,MSCI中盘、养老金、高分红股,上证380、上证治理、中证800、农业50、国信价值、国证农业,中证500、沪港通SH、融资融券,18,行业位置：种植业/粮食种植；相关概念：乡村振兴、人造肉、化肥概念、区块链、土地流转；风格标签：MSCI中盘、养老金、高分红股；指数归属：上证380、上证治理、中证800、农业50；交易属性：中证500、沪港通SH、融资融券。
sh600623,化工原料,煤化工,DeepSeek、创投概念、含B股、工业气体、新材料、氟概念、芯片、锂电池,专项贷款、保险新进、拟减持、破净资产,上证580、国证价值、小盘价值,中证1000、沪港通SH、融资融券,18,行业位置：化工原料/煤化工；相关概念：DeepSeek、创投概念、含B股、工业气体、新材料；风格标签：专项贷款、保险新进、拟减持、破净资产；指数归属：上证580、国证价值、小盘价值；交易属性：中证1000、沪港通SH、融资融券。
sh600726,火力发电,火力发电,临界发电、含B股、绿色电力,QFII新进、久不分红、户数增加、昨日涨停、最近多板、最近情绪、近期强势、近期新高、重组股,上证580、中证央企、国证服务,中证1000、国证2000、沪港通SH,18,行业位置：火力发电/火力发电；相关概念：临界发电、含B股、绿色电力；风格标签：QFII新进、久不分红、户数增加、昨日涨停；指数归属：上证580、中证央企、国证服务；交易属性：中证1000、国证2000、沪港通SH。
sh600750,中成药,中药,白酒概念,专项贷款、保险重仓、券商重仓、参股金融、证金汇金、高分红股、高股息股,上证380、上证治理、中证央企、国信价值、红利低波,中证1000、国证2000、沪港通SH、融资融券、转融券,18,行业位置：中成药/中药；相关概念：白酒概念；风格标签：专项贷款、保险重仓、券商重仓、参股金融；指数归属：上证380、上证治理、中证央企、国信价值；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600874,环境保护,水治理,PPP概念、储能、光伏、含H股、地下管网、智能机器、绿色电力、节能环保、雄安新区,低市盈率、破净资产、证金汇金,上证580,中证2000、国证2000、沪港通SH、融资融券、转融券,18,行业位置：环境保护/水治理；相关概念：PPP概念、储能、光伏、含H股、地下管网；风格标签：低市盈率、破净资产、证金汇金；指数归属：上证580；交易属性：中证2000、国证2000、沪港通SH、融资融券。
sh600916,服饰,钟表珠宝,中特估、培育钻石、通达信88、黄金概念,专项贷款、中字头、户数增加、私募新进、行业龙头、高分红股,上证380、上证治理、中证央企、国证价值、小盘价值,中证1000、沪港通SH、融资融券,18,行业位置：服饰/钟表珠宝；相关概念：中特估、培育钻石、通达信88、黄金概念；风格标签：专项贷款、中字头、户数增加、私募新进；指数归属：上证380、上证治理、中证央企、国证价值；交易属性：中证1000、沪港通SH、融资融券。
sh600939,建筑工程,房屋建设,一带一路、地下管网、工业互联、新型城镇、水利建设、装配建筑、雅江水电,低安全分、低市净率、小盘国企、破净资产、股权转让、连续亏损、高应收款、高负债率,上证580,中证2000、沪港通SH,18,行业位置：建筑工程/房屋建设；相关概念：一带一路、地下管网、工业互联、新型城镇、水利建设；风格标签：低安全分、低市净率、小盘国企、破净资产；指数归属：上证580；交易属性：中证2000、沪港通SH。
sh600963,造纸,大宗用纸,DeepSeek、PPP概念、人工智能、工业大麻、生物质能、碳中和、雄安新区、风沙治理,保险新进、商誉减值、微利股,上证580、上证混改、中证央企,中证1000、国证2000、沪港通SH、融资融券,18,行业位置：造纸/大宗用纸；相关概念：DeepSeek、PPP概念、人工智能、工业大麻、生物质能；风格标签：保险新进、商誉减值、微利股；指数归属：上证580、上证混改、中证央企；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh600985,煤炭开采,炼焦煤,临界发电、光伏、绿色电力,低市净率、保险重仓、周期股、商誉减值、破净资产、社保新进,上证380、上证红利、中盘价值、中证800、中证红利、国证价值,中证500、沪港通SH、融资融券,18,行业位置：煤炭开采/炼焦煤；相关概念：临界发电、光伏、绿色电力；风格标签：低市净率、保险重仓、周期股、商誉减值；指数归属：上证380、上证红利、中盘价值、中证800；交易属性：中证500、沪港通SH、融资融券。
sh601021,空运,航空运输,免税概念、跨境电商,MSCI成份、周期股、回购计划、户数增加、绩优股、证金汇金,300周期、上证180、上证中盘、中证200、中证800、沪深300、资源优势,中证A500、沪港通SH、融资融券,18,行业位置：空运/航空运输；相关概念：免税概念、跨境电商；风格标签：MSCI成份、周期股、回购计划、户数增加；指数归属：300周期、上证180、上证中盘、中证200；交易属性：中证A500、沪港通SH、融资融券。
sh601118,橡胶,其他种植业,乡村振兴、免税概念、海南自贸、碳中和、赛马概念、降解塑料,商誉减值、昨日振荡、昨日较强、社保新进、行业龙头、连续亏损,中证800、农业50,中证500、沪港通SH、融资融券、转融券,18,行业位置：橡胶/其他种植业；相关概念：乡村振兴、免税概念、海南自贸、碳中和、赛马概念；风格标签：商誉减值、昨日振荡、昨日较强、社保新进；指数归属：中证800、农业50；交易属性：中证500、沪港通SH、融资融券、转融券。
sh601156,仓储物流,跨境物流,一带一路、冷链物流、跨境电商,低市盈率、保险重仓、拟减持、海外业务、股权转让、自由现金,上证380、中证800、中证央企、国证价值、小盘价值、腾讯济安,中证500、沪港通SH、融资融券,18,行业位置：仓储物流/跨境物流；相关概念：一带一路、冷链物流、跨境电商；风格标签：低市盈率、保险重仓、拟减持、海外业务；指数归属：上证380、中证800、中证央企、国证价值；交易属性：中证500、沪港通SH、融资融券。
sh601233,化纤,涤纶,互联金融,专项贷款、养老金、券商金股、社保重仓、绩优股、非周期股,上证380、中盘价值、中盘成长、中证800、国证价值、国证成长、民企100,中证500、中证A500、沪港通SH、融资融券,18,行业位置：化纤/涤纶；相关概念：互联金融；风格标签：专项贷款、养老金、券商金股、社保重仓；指数归属：上证380、中盘价值、中盘成长、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh601333,铁路,铁路运输,含H股、粤港澳、高铁,低市净率、回购计划、破净资产,上证580、上证混改、中证800、中证央企、分析师指、国证价值、国证服务、小盘价值,中证500、沪港通SH、融资融券、转融券,18,行业位置：铁路/铁路运输；相关概念：含H股、粤港澳、高铁；风格标签：低市净率、回购计划、破净资产；指数归属：上证580、上证混改、中证800、中证央企；交易属性：中证500、沪港通SH、融资融券、转融券。
sh601515,广告包装,纸包装,PVDF概念、创投概念、口罩防护、固态电池、复合铜箔、工业大麻、新型烟草、新材料、烟草概念、钠电池、锂电池,商誉减值、回购计划、控制变更、连续亏损,上证580,沪港通SH、融资融券,18,行业位置：广告包装/纸包装；相关概念：PVDF概念、创投概念、口罩防护、固态电池、复合铜箔；风格标签：商誉减值、回购计划、控制变更、连续亏损；指数归属：上证580；交易属性：沪港通SH、融资融券。
sh601956,家用电器,家电零部件,中俄贸易、人形机器、光伏、冷链物流、工业互联、新能源车、新零售、智能机器、物联网、绿色电力、职业教育、跨境电商、高端装备,专项贷款、回购计划、微小盘股、破发行价,,中证2000,18,行业位置：家用电器/家电零部件；相关概念：中俄贸易、人形机器、光伏、冷链物流、工业互联；风格标签：专项贷款、回购计划、微小盘股、破发行价；交易属性：中证2000。
sh603067,化工原料,无机盐,储能、固态电池、维生素、钒电池、钛金属、锂电池,QFII新进、QFII重仓、发可转债、密集调研、拟减持、最近情绪、社保重仓、高贝塔值,,中证2000、国证2000、沪港通SH、融资融券,18,行业位置：化工原料/无机盐；相关概念：储能、固态电池、维生素、钒电池、钛金属；风格标签：QFII新进、QFII重仓、发可转债、密集调研；交易属性：中证2000、国证2000、沪港通SH、融资融券。
sh603191,电气设备,输变电设备,一带一路、东数西算、储能、充电桩、光伏、数据中心、新材料、智能电网、水利建设、雅江水电、风电、高铁,定增预案,,专精特新、中证2000、国证2000、沪港通SH、融资融券,18,行业位置：电气设备/输变电设备；相关概念：一带一路、东数西算、储能、充电桩、光伏；风格标签：定增预案；交易属性：专精特新、中证2000、国证2000、沪港通SH。
sh603257,建筑工程,工程咨询服务,AI智能体、DeepSeek、一带一路、乡村振兴、工业互联、数字孪生、盐湖提锂、稀土永磁、钴金属、锂电池、黄金概念,两年新股、送转潜力,上证580、中证央企,中证2000、国证2000、融资融券,18,行业位置：建筑工程/工程咨询服务；相关概念：AI智能体、DeepSeek、一带一路、乡村振兴、工业互联；风格标签：两年新股、送转潜力；指数归属：上证580、中证央企；交易属性：中证2000、国证2000、融资融券。
sh603313,家居用品,家具,C2M概念、华为鸿蒙、智能家居、跨境电商,专项贷款、商誉减值、微小盘股、海外业务、破发行价、私募重仓、自由现金、近期弱势、近期新低、连续亏损,中证回购,中证2000、国证2000、沪港通SH,18,行业位置：家居用品/家具；相关概念：C2M概念、华为鸿蒙、智能家居、跨境电商；风格标签：专项贷款、商誉减值、微小盘股、海外业务；指数归属：中证回购；交易属性：中证2000、国证2000、沪港通SH。
sh603368,医药商业,医药流通,人工智能、冷链物流、创新药、婴童概念、智能医疗、肝炎概念,低市净率、低市盈率、回购计划、破净资产、社保新进、高应收款,上证580、中证回购,中证2000、国证2000、沪港通SH、融资融券,18,行业位置：医药商业/医药流通；相关概念：人工智能、冷链物流、创新药、婴童概念、智能医疗；风格标签：低市净率、低市盈率、回购计划、破净资产；指数归属：上证580、中证回购；交易属性：中证2000、国证2000、沪港通SH、融资融券。
sh603383,软件服务,行业应用软件,AI智能体、DeepSeek、互联金融、信创、区块链、华为鸿蒙、国产软件、海峡西岸、腾讯概念,股东减持、股权转让、高分红股,上证580、金融科技,中证1000、国证2000、沪港通SH、融资融券,18,行业位置：软件服务/行业应用软件；相关概念：AI智能体、DeepSeek、互联金融、信创、区块链；风格标签：股东减持、股权转让、高分红股；指数归属：上证580、金融科技；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh603508,IT设备,安防设备,5G概念、国防军工、大数据、安防服务、无人机、无人驾驶、机器视觉、车联网、高铁,自由现金、高分红股、高商誉、高股息股,上证580,中证1000、国证2000、沪港通SH、融资融券,18,行业位置：IT设备/安防设备；相关概念：5G概念、国防军工、大数据、安防服务、无人机；风格标签：自由现金、高分红股、高商誉、高股息股；指数归属：上证580；交易属性：中证1000、国证2000、沪港通SH、融资融券。
sh603535,仓储物流,跨境物流,低空经济、抖音概念、新零售、无人驾驶、物联网、粤港澳、航运概念、跨境电商、阿里概念,券商重仓、昨日涨停、昨日首板、最近情绪、近期新低,,中证2000、含可转债、国证2000、沪港通SH,18,行业位置：仓储物流/跨境物流；相关概念：低空经济、抖音概念、新零售、无人驾驶、物联网；风格标签：券商重仓、昨日涨停、昨日首板、最近情绪；交易属性：中证2000、含可转债、国证2000、沪港通SH。
sh603579,家用电器,个护小家电,AI医疗、DeepSeek、Web3概念、人工智能、人脑工程、养老概念、华为鸿蒙、小米概念、智能机器、虚拟现实、跨境电商、阿里概念,回购计划、私募重仓,,专精特新、中证2000、国证2000、沪港通SH,18,行业位置：家用电器/个护小家电；相关概念：AI医疗、DeepSeek、Web3概念、人工智能、人脑工程；风格标签：回购计划、私募重仓；交易属性：专精特新、中证2000、国证2000、沪港通SH。
sh603650,化工原料,橡胶助剂,OLED概念、光刻机、存储芯片、新材料、石墨烯、稀土永磁、芯片、降解塑料,保险重仓、拟减持、行业龙头、高分红股,上证380、中证800,中证500、中证A500、沪港通SH、融资融券,18,行业位置：化工原料/橡胶助剂；相关概念：OLED概念、光刻机、存储芯片、新材料、石墨烯；风格标签：保险重仓、拟减持、行业龙头、高分红股；指数归属：上证380、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
sh603687,广告包装,纸包装,AIGC概念、ChatGPT、DeepSeek、人工智能、光伏、工业互联、数字孪生、数字水印、烟草概念、物联网、芯片、钙钛矿、锂电池,QFII重仓、户数增加、股权转让,,中证2000、国证2000,18,行业位置：广告包装/纸包装；相关概念：AIGC概念、ChatGPT、DeepSeek、人工智能、光伏；风格标签：QFII重仓、户数增加、股权转让；交易属性：中证2000、国证2000。
sh603979,铜,铜,一带一路、磷概念、黄金概念,养老金、周期股、海外业务、社保重仓、绩优股,上证380、中盘成长、中证800、国证成长、资源优势,中证500、中证A500、含可转债、沪港通SH、融资融券,18,行业位置：铜/铜；相关概念：一带一路、磷概念、黄金概念；风格标签：养老金、周期股、海外业务、社保重仓；指数归属：上证380、中盘成长、中证800、国证成长；交易属性：中证500、中证A500、含可转债、沪港通SH。
sh605058,元器件,PCB,5G概念、CPO概念、PCB概念、东数西算、储能、商业航天、工业互联、数据中心、新能源车、智能家居、毫米雷达、汽车电子,历史新高、户数减少、近期新高、送转潜力,,中证2000、含可转债,18,行业位置：元器件/PCB；相关概念：5G概念、CPO概念、PCB概念、东数西算、储能；风格标签：历史新高、户数减少、近期新高、送转潜力；交易属性：中证2000、含可转债。
sh605376,小金属,镍,3D打印、光伏、新材料、锂电池、镍金属,周期股、基金减仓、拟减持、百元股、近期新高、高市净率,上证580、能源金属,专精特新、中证1000、国证2000、沪港通SH、融资融券,18,行业位置：小金属/镍；相关概念：3D打印、光伏、新材料、锂电池、镍金属；风格标签：周期股、基金减仓、拟减持、百元股；指数归属：上证580、能源金属；交易属性：专精特新、中证1000、国证2000、沪港通SH。
sh605598,建筑工程,其他专业工程,一带一路、卫星导航、商业航天、国防军工、无人机、节能环保、钙钛矿、雅江水电,回购计划、微利股、拟减持、昨日振荡、最近情绪、海外业务,上证580,中证2000、国证2000、沪港通SH,18,行业位置：建筑工程/其他专业工程；相关概念：一带一路、卫星导航、商业航天、国防军工、无人机；风格标签：回购计划、微利股、拟减持、昨日振荡；指数归属：上证580；交易属性：中证2000、国证2000、沪港通SH。
